"ID","SEX","TYPEAREA","SEX.REPRO","REPRO.STATUS","AGE","PARASITE_STATUS","RBC","HGB","WBC","EOS.CNT","MONO.CNT","NUT.CNT","PL.CNT","LYMP.CNT"
"grlsVMV6M2GG","Female","Suburban","NeuteredFemale","Neutered",21,"Negative",6.5,17,5.8,174,116,3422,212,2088
"grlsGJCD8LL","Female","Suburban","NeuteredFemale","Neutered",22,"Negative",7.4,19.6,5.7,171,171,3249,145,2109
"grlsR8OMQ1AA","Male","Suburban","NeuteredMale","Neutered",22,"Negative",6.2,15.8,7.3,146,292,3650,210,3212
"grlsI8CE766","Female","Suburban","NeuteredFemale","Neutered",10,"Negative",6.1,15.2,15.8,158,474,9322,302,5846
"grlsTZWAHYAA","Female","Suburban","IntactFemale","Intact",6,"Negative",6.1,15,10.1,101,808,4545,221,4646
"grls8L71C4RR","Male","Suburban","NeuteredMale","Neutered",21,"Negative",6,15.8,7,140,140,4620,201,2100
"grlsWIBYAH11","Female","Suburban","IntactFemale","Intact",9,"Negative",6.2,14.6,10,0,800,4800,260,4400
"grlsOGN9F0JJ","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",6.2,17.6,9.2,184,184,5520,162,3312
"grlsQ2TK1PXX","Female","Rural","NeuteredFemale","Neutered",12,"Negative",8,19.1,8.6,344,258,4988,293,3010
"grlsCMH4LVV","Female","Suburban","NeuteredFemale","Neutered",15,"Negative",6.5,17.2,12.8,128,1024,8576,239,3072
"grls901OJG66","Male","Suburban","NeuteredMale","Neutered",16,"Negative",6.4,16.2,9.7,1067,388,5529,132,2716
"grlsM0N38MNN","Male","Suburban","NeuteredMale","Neutered",11,"Negative",5.9,15.2,12.4,496,496,6076,275,5332
"grlsMGAPGURR","Male","Suburban","IntactMale","Intact",12,"Negative",6.4,17.1,11,110,1100,6930,252,2860
"grlsSHPP50YY","Male","Rural","IntactMale","Intact",6,"Negative",5.8,13.3,7.9,158,237,4029,247,3476
"grlsCKOE2ILL","Male","Suburban","IntactMale","Intact",6,"Negative",5.4,12.6,11.3,113,904,6667,347,3616
"grls80VR65RR","Male","Suburban","NeuteredMale","Neutered",21,"Negative",6.4,17.1,7.5,75,450,3375,147,3600
"grlsMMKSTLL","Female","Rural","NeuteredFemale","Neutered",12,"Negative",6.9,18.2,10.5,105,315,7455,221,2625
"grls1TCYF611","Female","Suburban","NeuteredFemale","Neutered",27,"Negative",5.9,16.1,6.9,483,207,2898,230,3312
"grls7L0Z2HRR","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",6.5,17.1,8.9,267,267,5073,196,3293
"grlsTDVKJZ22","Male","Suburban","IntactMale","Intact",7,"Positive",5.6,14.4,11.8,118,354,5664,319,5664
"grlsA5PHKWWW","Male","Rural","IntactMale","Intact",15,"Negative",5.6,14.5,10.4,2288,104,5304,255,2704
"grlsZQDR8U77","Male","Urban","NeuteredMale","Neutered",10,"Negative",5.5,13.6,16.1,483,805,9821,227,4991
"grlsW0RLJN55","Female","Suburban","NeuteredFemale","Neutered",7,"Negative",6.5,16.6,11.9,119,833,5355,258,5593
"grlsVK01J9LL","Male","Suburban","IntactMale","Intact",7,"Negative",5.6,13.6,12.3,492,369,6027,228,5412
"grlsNPL2E4KK","Male","Suburban","IntactMale","Intact",13,"Negative",6.1,15.1,12.3,123,861,7503,276,3813
"grlsXCUGNPXX","Male","Rural","NeuteredMale","Neutered",24,"Negative",7,16.9,11,110,440,7480,127,2970
"grlsK5ZQCBB","Female","Suburban","IntactFemale","Intact",18,"Negative",5.5,15.5,11.8,0,826,6726,273,4248
"grlsR6G4GRHH","Male","Urban","IntactMale","Intact",16,"Negative",6.1,16,20.1,402,603,14472,277,4623
"grlsZ5EFYFLL","Male","Rural","IntactMale","Intact",11,"Negative",6.6,15.8,13.1,131,393,8908,257,3668
"grlsOIKGNPMM","Female","Suburban","IntactFemale","Intact",23,"Negative",5.9,13.9,7.9,158,316,5530,279,1817
"grlsHEN2HZ55","Male","Suburban","IntactMale","Intact",6,"Negative",6.4,15.3,11.7,1053,351,4914,275,5382
"grls46S0J8II","Female","Suburban","IntactFemale","Intact",14,"Negative",6.2,16,11,0,880,5390,276,4730
"grlsOJGJV499","Male","Suburban","IntactMale","Intact",6,"Negative",6,14.9,10.8,216,324,4320,274,5940
"grlsDI5F7E33","Female","Suburban","NeuteredFemale","Neutered",15,"Positive",6.6,16.9,6,120,360,3600,89,1920
"grls21MTXB44","Male","Urban","IntactMale","Intact",7,"Negative",5.5,13.3,8.8,440,264,4488,266,3608
"grlsVKGKR300","Female","Suburban","IntactFemale","Intact",6,"Negative",6.1,16.1,9.4,188,376,6862,200,1974
"grlsB13BDM55","Female","Rural","IntactFemale","Intact",7,"Negative",5.8,14.7,8,0,400,3760,235,3840
"grlsZ2WGKQQ","Female","Urban","NeuteredFemale","Neutered",24,"Negative",7.4,16.8,10.4,416,312,6344,248,3328
"grls4ECKYCTT","Male","Suburban","IntactMale","Intact",9,"Negative",6.4,15.2,15.1,755,453,6795,307,7097
"grls5Q94DIRR","Male","Suburban","IntactMale","Intact",6,"Negative",6.1,15.8,8.9,267,178,4094,206,4361
"grlsZ515TIPP","Male","Rural","IntactMale","Intact",8,"Negative",5.9,15.5,8.8,704,352,3960,223,3784
"grlsTASR6WNN","Female","Urban","NeuteredFemale","Neutered",20,"Negative",6.8,18.3,7.1,71,355,4118,213,2556
"grlsXEN3YHH","Male","Rural","IntactMale","Intact",11,"Negative",5.3,14.4,9,810,270,4950,180,2970
"grls6XAJBBKK","Male","Suburban","NeuteredMale","Neutered",22,"Negative",7.6,18.8,7.1,284,142,3763,226,2911
"grls6J8CR300","Female","Suburban","NeuteredFemale","Neutered",21,"Negative",6.1,17.2,7.7,77,231,4081,188,3311
"grlsJGLJZ366","Male","Urban","IntactMale","Intact",6,"Negative",5.8,14.7,9.4,188,470,4982,275,3760
"grls54QYO55","Male","Suburban","IntactMale","Intact",18,"Negative",7.4,18.3,10.1,202,707,5050,207,4141
"grlsJYXJ3M99","Male","Suburban","IntactMale","Intact",8,"Negative",5.5,14.1,10.8,432,324,7020,199,3024
"grlsS4N38NEE","Female","Suburban","NeuteredFemale","Neutered",18,"Negative",6.5,18.1,9.2,92,644,5336,219,3128
"grls3EQ06MFF","Male","Suburban","IntactMale","Intact",12,"Positive",6.4,17.1,11.4,114,456,8094,255,2736
"grlsDI2HS822","Female","Suburban","IntactFemale","Intact",7,"Negative",7,17.5,11.1,111,444,6660,298,3885
"grlsH6IJ1Q66","Female","Suburban","NeuteredFemale","Neutered",22,"Negative",6.5,17,7.6,304,228,4788,249,2280
"grls3L8K8I00","Female","Rural","IntactFemale","Intact",5,"Negative",5.9,13.8,8.1,243,243,3726,275,3807
"grls31YGW1VV","Male","Rural","IntactMale","Intact",9,"Negative",5.9,14.9,11.8,0,472,7670,181,3658
"grlsH8CNL33","Male","Suburban","IntactMale","Intact",6,"Negative",6,16.8,11.4,114,342,4446,207,6498
"grls2WVR3IQQ","Male","Suburban","IntactMale","Intact",13,"Negative",6.7,17.2,8.4,336,168,4620,190,3276
"grls3K2699MM","Female","Suburban","NeuteredFemale","Neutered",7,"Negative",6.3,14,8.2,246,410,4346,292,3198
"grlsO3II22II","Male","Suburban","IntactMale","Intact",15,"Negative",6.6,17.7,10.5,1155,315,4935,154,4095
"grlsJ1UYSDSS","Female","Suburban","NeuteredFemale","Neutered",9,"Negative",6.1,16.1,10,200,800,4500,283,4500
"grlsRYJD4TEE","Male","Suburban","IntactMale","Intact",7,"Negative",5.9,13.7,12.4,248,496,6200,290,5456
"grlsGVKL23PP","Female","Suburban","IntactFemale","Intact",6,"Negative",5.7,13.6,9.4,564,188,4606,276,4042
"grlsA5ZQ5X11","Female","Urban","NeuteredFemale","Neutered",15,"Negative",6.4,18,7.1,0,355,3763,209,2982
"grls9L20RMHH","Female","Suburban","IntactFemale","Intact",19,"Positive",6.8,16.4,9.5,760,380,5510,378,2850
"grlsO4I5K22","Female","Rural","IntactFemale","Intact",24,"Negative",6.1,16.5,11.4,114,456,7980,344,2850
"grlsEOGNUT66","Male","Suburban","IntactMale","Intact",14,"Negative",6.7,17.1,11.1,111,888,6549,227,3552
"grlsZV195TEE","Male","Suburban","NeuteredMale","Neutered",14,"Negative",6.3,15.9,5.9,177,177,2832,149,2714
"grlsQ69TSEMM","Male","Rural","NeuteredMale","Neutered",27,"Negative",7.5,18.2,10.1,0,404,8080,250,1616
"grlsDZHFSRMM","Female","Suburban","NeuteredFemale","Neutered",7,"Negative",5.6,14.8,9.9,99,792,4752,206,4257
"grlsZTK09ORR","Male","Suburban","NeuteredMale","Neutered",25,"Negative",5.7,15.5,6.2,558,186,2976,175,2480
"grlsTZZ57RPP","Female","Rural","IntactFemale","Intact",6,"Negative",5.8,14.4,12,120,720,4440,247,6720
"grlsVRYMED66","Male","Suburban","NeuteredMale","Neutered",25,"Negative",7,17.6,6,120,240,3300,182,2340
"grls98JY79QQ","Female","Urban","IntactFemale","Intact",17,"Negative",5.8,15.4,11.7,234,234,6669,259,4563
"grlsK8JL2ZZ","Male","Suburban","IntactMale","Intact",5,"Negative",5.4,13.1,8.2,410,328,3444,216,4018
"grlsWLNH5544","Male","Suburban","IntactMale","Intact",21,"Negative",6,16.3,13.3,266,665,9310,179,3059
"grlsEPDHQK22","Male","Rural","IntactMale","Intact",11,"Negative",6.7,18,7.6,532,228,4408,207,2432
"grlsB1C8Z3DD","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",6.1,15.9,6.8,272,272,4080,246,2176
"grlsVGIFWPP","Male","Rural","IntactMale","Intact",23,"Negative",6.2,16.3,12.7,127,1143,9144,204,2286
"grlsXV9PLPQQ","Female","Rural","IntactFemale","Intact",9,"Negative",7.1,17.7,9.4,376,376,5170,288,3478
"grlsSEQNF1PP","Male","Suburban","IntactMale","Intact",24,"Negative",6.1,16.9,6.2,310,248,3906,161,1736
"grlsQGFTFYJJ","Male","Urban","NeuteredMale","Neutered",8,"Negative",5.1,13.3,10.3,1030,515,4429,198,4326
"grlsKTQEYMKK","Male","Suburban","IntactMale","Intact",17,"Negative",6.3,15.9,10.7,535,321,6527,183,3317
"grlsXBV6QUPP","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",6.5,17.3,6.8,68,204,4488,181,2040
"grlsCI5MVMDD","Male","Rural","IntactMale","Intact",9,"Negative",5.4,13,17,0,850,10710,296,5440
"grlsEO82XEOO","Female","Suburban","IntactFemale","Intact",11,"Negative",6.3,17.2,9.3,93,279,5766,194,3162
"grlsJ7RDPHKK","Female","Suburban","IntactFemale","Intact",9,"Negative",7.2,17.8,12,0,960,6120,303,4920
"grlsM21R3M55","Male","Suburban","IntactMale","Intact",8,"Negative",6.4,14,13,1040,520,7020,227,4420
"grls08SO0S44","Female","Rural","IntactFemale","Intact",10,"Positive",5.9,15.4,10.7,321,321,5992,303,4066
"grlsPIPT5SWW","Female","Rural","IntactFemale","Intact",14,"Negative",NA,NA,NA,NA,NA,NA,NA,NA
"grls4PEHX1GG","Female","Rural","NeuteredFemale","Neutered",10,"Negative",6,15.7,12.4,0,992,5952,222,5456
"grlsI8B40J88","Female","Urban","NeuteredFemale","Neutered",23,"Negative",6.8,18.7,9.4,188,282,5828,300,3102
"grlsCQG3CGNN","Male","Urban","IntactMale","Intact",11,"Negative",5.5,15.1,9.7,97,776,5141,183,3686
"grls3XBWRSQQ","Female","Suburban","NeuteredFemale","Neutered",6,"Negative",6.1,15.3,9.2,92,644,3956,240,4508
"grlsEQTN7K","Male","Suburban","IntactMale","Intact",17,"Negative",6.1,16.7,10,0,500,5600,268,3900
"grls7YEZWGBB","Female","Rural","NeuteredFemale","Neutered",15,"Negative",6.5,18,12.1,242,363,7018,232,4477
"grlsNB7KM6WW","Female","Suburban","NeuteredFemale","Neutered",6,"Negative",5.5,13.5,10,100,400,4500,298,5000
"grlsDP2KHHRR","Male","Suburban","IntactMale","Intact",14,"Negative",5.8,15.2,9.2,184,552,6808,182,1656
"grlsFQJHE177","Female","Suburban","IntactFemale","Intact",6,"Negative",5.2,13,8.6,774,344,4300,206,3182
"grlsTWPXQGG","Male","Suburban","IntactMale","Intact",7,"Negative",5.8,14.8,10.1,303,505,5656,413,3636
"grlsREUM9RDD","Female","Suburban","NeuteredFemale","Neutered",19,"Negative",5.7,15.5,5.8,232,116,3248,197,2204
"grlsSBT32QTT","Female","Rural","IntactFemale","Intact",9,"Negative",5.4,14.2,20.7,0,1656,13662,401,5382
"grlsYSCKJPUU","Female","Suburban","NeuteredFemale","Neutered",23,"Negative",6.1,15.7,5.9,236,118,2773,282,2773
"grlsABXKY511","Female","Rural","IntactFemale","Intact",9,"Negative",6.1,15.7,7.7,693,231,3773,241,3003
"grls27Z1P2NN","Female","Suburban","IntactFemale","Intact",6,"Negative",6.4,15.2,15,600,450,6450,275,7500
"grlsBUJQ1711","Female","Suburban","NeuteredFemale","Neutered",19,"Negative",5.8,15.3,11.2,112,336,8512,321,2240
"grls40UEVBZZ","Male","Suburban","NeuteredMale","Neutered",7,"Negative",6,15,10.8,216,324,6588,237,3672
"grlsZ57UDDTT","Male","Suburban","IntactMale","Intact",7,"Negative",5.4,14.8,9.9,495,495,5742,306,3168
"grls54WONKZZ","Female","Suburban","NeuteredFemale","Neutered",7,"Negative",6.6,15.8,8.8,88,176,4664,283,3872
"grlsQMJPVG77","Male","Rural","IntactMale","Intact",8,"Negative",6.3,14.7,17.8,890,356,9612,253,6942
"grlsM5R5TQNN","Male","Suburban","IntactMale","Intact",7,"Negative",6.2,14.9,15.2,912,456,7144,285,6688
"grlsWGK4IN99","Male","Urban","NeuteredMale","Neutered",23,"Negative",6.9,17,9.8,196,294,5880,270,3332
"grlsOHF03CRR","Male","Suburban","IntactMale","Intact",7,"Negative",6.3,14.9,16.6,166,996,10790,316,4648
"grlsIR3T6HDD","Male","Suburban","IntactMale","Intact",17,"Negative",7.3,16.7,6.9,138,483,3657,178,2622
"grlsU2736TJJ","Female","Suburban","IntactFemale","Intact",6,"Positive",6,14.2,13.7,137,1233,7261,397,5069
"grls4UW71QLL","Male","Rural","IntactMale","Intact",11,"Negative",5.9,14.3,13,130,910,9230,277,2730
"grlsFUZDSRYY","Female","Suburban","IntactFemale","Intact",8,"Negative",5.3,12.6,10.6,318,424,6572,291,3286
"grls221X4400","Female","Urban","NeuteredFemale","Neutered",16,"Negative",7,17.5,10.2,204,408,6018,213,3570
"grlsWTEQZA99","Male","Suburban","IntactMale","Intact",5,"Negative",6.4,15.6,9.9,495,297,4851,251,4257
"grls4GDONJSS","Female","Suburban","IntactFemale","Intact",21,"Negative",5.8,13.9,11.8,118,826,8968,265,1888
"grlsBIVYMAJJ","Female","Suburban","NeuteredFemale","Neutered",7,"Negative",7.2,16.3,11.1,0,555,5328,328,5217
"grlsEAMQWTKK","Female","Rural","IntactFemale","Intact",9,"Positive",6.1,15,10.9,436,327,7085,241,3052
"grlsQYLHQ455","Male","Suburban","IntactMale","Intact",6,"Negative",6.1,15.4,13.3,1064,399,5985,259,5852
"grlsPFWAN5MM","Male","Suburban","IntactMale","Intact",10,"Positive",6.3,16.1,5.8,464,174,3248,94,1914
"grlsQB7DQ0OO","Female","Suburban","IntactFemale","Intact",7,"Negative",6,14.8,12.8,0,1920,5632,380,5248
"grlsZTVI29JJ","Male","Suburban","NeuteredMale","Neutered",6,"Positive",5.7,13.9,15.8,0,948,11850,241,3002
"grls19LCJPHH","Female","Suburban","NeuteredFemale","Neutered",22,"Negative",6.5,17.3,6.1,122,122,3477,249,2379
"grlsCOJT3VV","Female","Suburban","NeuteredFemale","Neutered",12,"Negative",5.6,14.9,10,100,400,5800,226,3700
"grlsEYQ09YY","Female","Suburban","NeuteredFemale","Neutered",8,"Negative",5.3,13.5,7.2,144,288,4032,269,2736
"grlsRV0M7HXX","Female","Suburban","NeuteredFemale","Neutered",10,"Negative",7,18.8,8.4,84,588,4620,261,3108
"grlsMNPUVE00","Female","Suburban","NeuteredFemale","Neutered",24,"Negative",6.9,17.3,6,60,420,3180,181,2340
"grlsVI41LZGG","Female","Suburban","NeuteredFemale","Neutered",19,"Negative",7.9,20.3,10.2,102,306,5916,281,3876
"grlsBH3SNYOO","Female","Suburban","NeuteredFemale","Neutered",20,"Negative",6.8,17.7,7.2,216,216,4320,215,2448
"grls17J6WYY","Male","Suburban","IntactMale","Intact",10,"Negative",6.7,18,9.4,470,376,6204,246,2350
"grls1Y1K30GG","Female","Rural","IntactFemale","Intact",7,"Negative",5.6,13.6,13.1,131,524,7729,314,4716
"grlsWE7RIODD","Male","Suburban","IntactMale","Intact",7,"Negative",5.7,14.7,11.5,345,345,5865,244,4945
"grlsAW5UKVOO","Female","Suburban","NeuteredFemale","Neutered",27,"Negative",6.9,18,8.9,356,623,5429,181,2492
"grls5JAZJOUU","Female","Suburban","IntactFemale","Intact",12,"Negative",6.5,15.7,7.9,316,237,4187,200,3160
"grlsMJQO54ZZ","Female","Suburban","IntactFemale","Intact",7,"Negative",6.2,15.7,9.9,693,396,4653,172,4158
"grlsZS8EN0II","Female","Rural","IntactFemale","Intact",7,"Negative",6.3,15.6,14.7,735,441,8085,319,5439
"grls9TCORNYY","Male","Suburban","NeuteredMale","Neutered",24,"Negative",7.3,18.2,9.8,490,196,5292,222,3822
"grlsHY06UYFF","Male","Suburban","IntactMale","Intact",13,"Negative",6.5,17.5,9.9,198,495,5742,136,3465
"grlsWK6TLZ88","Male","Suburban","IntactMale","Intact",6,"Negative",5.2,12.9,12.1,726,605,5687,255,5082
"grlsIG55M1RR","Female","Suburban","NeuteredFemale","Neutered",13,"Negative",5.9,14.7,11.9,714,357,6426,208,4403
"grls8YZFOQUU","Male","Rural","NeuteredMale","Neutered",12,"Negative",6.4,16.2,11,330,330,6050,252,4290
"grlsOQDZ9033","Female","Suburban","NeuteredFemale","Neutered",12,"Negative",6.4,17.3,10.9,436,436,5123,220,4905
"grlsTYFNBPP","Female","Rural","IntactFemale","Intact",7,"Negative",6.1,14.7,9.4,0,658,3478,239,5264
"grls2MEMVE22","Female","Rural","IntactFemale","Intact",9,"Negative",6,14.6,9.6,480,288,5184,197,3648
"grlsBWTOXKOO","Male","Suburban","NeuteredMale","Neutered",22,"Negative",6,14.7,7.7,308,154,4774,209,2464
"grlsACGRRV11","Male","Suburban","IntactMale","Intact",10,"Negative",6,16.6,13.3,266,532,7182,154,5320
"grls9H1DAHMM","Female","Rural","IntactFemale","Intact",8,"Negative",5.6,14.7,12.2,122,488,6100,270,5490
"grlsYH2JVNN","Female","Rural","IntactFemale","Intact",7,"Negative",5.7,14.2,12.9,387,516,5676,354,6321
"grlsP3SMJZ22","Male","Suburban","IntactMale","Intact",20,"Negative",6.8,18.3,13.9,695,556,10286,173,2363
"grls1N8O3I33","Male","Urban","IntactMale","Intact",6,"Negative",5.4,13.2,11.8,236,472,6136,304,4956
"grlsC4G2DW00","Male","Suburban","IntactMale","Intact",6,"Negative",5.9,14.4,11.1,111,1332,4995,229,4662
"grlsJCG0D1XX","Male","Rural","IntactMale","Intact",6,"Negative",5.8,14.3,12.5,125,1125,5250,336,5875
"grlsV3HNKMHH","Female","Suburban","IntactFemale","Intact",8,"Negative",5.9,14.7,11.5,115,1380,5635,316,4370
"grlsNZ3N1DGG","Male","Suburban","IntactMale","Intact",9,"Negative",6.6,15.4,13.6,952,408,7480,287,4760
"grlsPG2IIE44","Female","Suburban","IntactFemale","Intact",6,"Negative",5.7,13.5,9.4,940,282,3478,283,4700
"grlsDAGOI9ZZ","Male","Urban","IntactMale","Intact",6,"Negative",6.1,13.9,10.4,728,520,5200,217,3848
"grls2RKFZ177","Female","Suburban","NeuteredFemale","Neutered",19,"Negative",6.8,17.8,9.8,196,294,4508,260,4802
"grlsMN3IWOCC","Male","Suburban","IntactMale","Intact",14,"Negative",5.8,14.6,6.1,244,244,4087,41,1525
"grls4ORNNL33","Male","Suburban","NeuteredMale","Neutered",18,"Negative",6.6,17.5,8.8,352,264,4400,237,3784
"grls4JXNLFRR","Male","Urban","NeuteredMale","Neutered",23,"Negative",6.8,16.4,7,350,280,3430,168,2940
"grlsPR5D1FCC","Male","Suburban","NeuteredMale","Neutered",16,"Negative",NA,NA,NA,NA,NA,NA,NA,NA
"grlsA7XQVQ","Male","Suburban","IntactMale","Intact",6,"Negative",5.6,14.2,13.2,264,1584,6600,434,4752
"grls7ZCWBCQQ","Female","Rural","IntactFemale","Intact",23,"Positive",5.6,14.4,12.9,258,645,8643,268,3354
"grls6YVS6OCC","Male","Suburban","IntactMale","Intact",19,"Negative",7.5,18.6,8.9,445,267,5785,222,2403
"grlsYT67SDAA","Male","Suburban","IntactMale","Intact",7,"Positive",5.6,14,11.3,113,904,7006,189,3277
"grlsSBR1O1DD","Male","Suburban","NeuteredMale","Neutered",12,"Negative",7,16.8,7.7,770,308,3619,216,3003
"grls0CXB5W99","Male","Suburban","IntactMale","Intact",9,"Negative",5.8,15.6,10.8,216,432,6912,207,3240
"grls3US5YZJJ","Female","Suburban","NeuteredFemale","Neutered",18,"Negative",6.5,16.2,8.4,252,252,4284,202,3612
"grlsEK6T8E11","Male","Suburban","IntactMale","Intact",7,"Negative",6.9,15.6,8.1,162,324,4374,157,3240
"grlsGPIRLHQQ","Female","Suburban","IntactFemale","Intact",7,"Negative",6.3,14.5,12.4,496,248,5084,337,6572
"grlsZ75QYATT","Female","Rural","NeuteredFemale","Neutered",7,"Negative",7,17.5,9.5,285,285,4275,299,4655
"grls2IYOWC33","Male","Suburban","NeuteredMale","Neutered",15,"Negative",7.4,18.2,8.6,86,172,4816,252,3526
"grlsRGSKYTXX","Female","Rural","NeuteredFemale","Neutered",9,"Negative",6.4,16.2,9.4,376,282,4512,249,4230
"grlsHRUPI9FF","Female","Urban","IntactFemale","Intact",7,"Negative",6.4,15.5,13.3,266,532,7581,190,4921
"grlsTM2KR9LL","Female","Suburban","IntactFemale","Intact",24,"Negative",7,17.6,8.2,82,574,4838,271,2706
"grlsSRL159BB","Female","Suburban","NeuteredFemale","Neutered",18,"Negative",6.7,17,7.8,78,702,3822,209,3198
"grls2MQWMVHH","Female","Rural","NeuteredFemale","Neutered",14,"Negative",7.3,18,8.7,348,261,5655,210,2436
"grlsKU5NXIQQ","Male","Rural","IntactMale","Intact",11,"Negative",5.8,14.8,11.2,1008,448,6272,249,3472
"grlsJBO0ZMYY","Female","Suburban","IntactFemale","Intact",21,"Negative",6.7,16.7,10,100,600,6100,341,3200
"grlsOSHXKQSS","Female","Urban","IntactFemale","Intact",9,"Negative",6.4,17,13.1,131,1310,6681,407,4978
"grlsB1QL68DD","Male","Rural","IntactMale","Intact",17,"Positive",6.8,16.4,10.6,212,424,7102,177,2756
"grlsKWEWCBTT","Female","Rural","NeuteredFemale","Neutered",25,"Negative",6.8,17.7,7.4,148,296,3478,210,3478
"grlsNF0KBEHH","Female","Suburban","IntactFemale","Intact",19,"Negative",6,15.8,10.5,945,420,6195,257,2940
"grlsPTB4KOYY","Male","Suburban","NeuteredMale","Neutered",13,"Negative",6.2,16.6,11.4,0,1482,5814,168,4104
"grlsFSW6J4TT","Female","Rural","IntactFemale","Intact",7,"Positive",5.9,13.3,11.2,448,336,6384,378,4032
"grlsUCM55K00","Female","Rural","IntactFemale","Intact",17,"Negative",6.3,16.3,9.3,837,372,5022,225,3069
"grls4J23FPEE","Female","Suburban","NeuteredFemale","Neutered",16,"Negative",6.1,15.3,7.9,79,316,4108,272,3397
